timestamp,user_id,session_id,scenario_id,drill_id,rep_idx,bullets_n,rep_start_time,buzzer_start_time,shot_start_time,shot_resolved_time,object_id,object_type,score,valid_hit_recomputed,live_targets,center_x,center_y,center_z,hit_x,hit_y,hit_z,reaction_time_s,radial_error_m,target_row,trigger_press_duration_s,trigger_smoothness,gaze_target_angle_deg,gaze_stability_deg,pupil_diameter_mm,gaze_eye_used,quiet_eye_duration_s,quiet_eye_eye_used
20260601072157,237,2564,11635,006_TargetAcquisition_006,5,2,1780312609802,1780312617277,1780312618982,1780312619007,LINE_1/1/BODY/D,valid,1.0,True,LINE_1/1/BODY/*,-2.8,1.1703794,4.993409,-2.71905327,1.2473253,4.983409,1.705,0.11168278571249411,1.0,0.045,0.009998104903142582,1.3840211681166437,0.6668239250746816,6.157775719333335,right,0.991,right
20260601072157,237,2564,11635,006_TargetAcquisition_006,5,2,1780312609802,1780312617277,1780312619504,1780312619527,LINE_1/1/BODY/C,valid,2.0,True,LINE_1/1/BODY/*,-2.8,1.1703794,4.993409,-2.746417,1.19148219,4.983409,2.227,0.05758876309475722,1.0,0.567,0.08935011476318643,1.3496466382190817,0.4326554355428486,6.210774786304347,right,0.989,right
20260601072157,237,2564,11635,007_TargetAcquisition_007,6,1,1780312624138,1780312632159,1780312634387,1780312634410,LINE_1/5/HEAD/B,valid,4.0,True,LINE_1/5/HEAD/*,2.8018,1.55463123,4.993409,2.8716042,1.53394508,4.983409,2.228,0.07280482909438434,1.0,0.056,0.06662511254311919,1.6772807549824558,0.41662302324797273,6.404753423333334,right,0.99,right
20260601072157,237,2564,11635,008_TargetAcquisition_008,7,1,1780312639320,1780312646471,1780312648288,1780312648311,LINE_1/3/HEAD/B,valid,4.0,True,LINE_1/3/HEAD/*,0.00180000043,1.55463123,4.993409,0.00250075478,1.63845313,4.983409,1.817,0.08382482911565668,1.0,0.046,0.06912285381723461,1.6899050657116717,0.44964854035138874,6.342072975555556,right,0.58,right
20260601072157,237,2564,11635,009_TargetAcquisition_009,8,2,1780312653054,1780312660490,1780312662130,1780312662152,LINE_1/2/BODY/A,valid,5.0,True,LINE_1/2/BODY/*,-1.4,1.1703794,4.993409,-1.40158856,1.15998054,4.98306942,1.64,0.010519496764256378,1.0,0.047,0.01592946704024045,1.7595919088839074,0.621139181567439,6.088348302000001,right,0.682,right
20260601072157,237,2564,11635,009_TargetAcquisition_009,8,2,1780312653054,1780312660490,1780312662461,1780312662485,LINE_1/2/BODY/A,valid,5.0,True,LINE_1/2/BODY/*,-1.4,1.1703794,4.993409,-1.38132739,1.17429,4.98306942,1.971,0.019077713609657078,1.0,0.365,0.12475284651686684,1.5992238574290747,0.5546267977473754,6.187111439130434,right,0.99,right
20260601072157,237,2564,11635,010_TargetAcquisition_010,9,1,1780312667519,1780312673457,1780312675464,1780312675486,LINE_1/1/HEAD/A,valid,5.0,True,LINE_1/1/HEAD/*,-2.7982,1.55463123,4.993409,-2.79608941,1.54079819,4.983409,2.007,0.013993126376535698,1.0,0.034,0.01109183394739767,1.6458477920745362,0.6185913877258873,6.38360472177778,right,0.993,right
20260601072157,237,2564,11635,011_TargetAcquisition_011,10,2,1780312679796,1780312686823,1780312688506,1780312688542,LINE_2/3/BODY/A,valid,5.0,True,LINE_2/3/BODY/*,0.0,1.1703794,9.993409,-0.0103185317,1.18994987,9.983069,1.683,0.02212409077148258,2.0,0.045,0.08005068828130023,1.4438699184451322,0.5503826824775441,6.387287019555556,right,0.991,right
20260601072157,237,2564,11635,011_TargetAcquisition_011,10,2,1780312679796,1780312686823,1780312688994,1780312689028,LINE_2/3/BODY/D,valid,1.0,True,LINE_2/3/BODY/*,0.0,1.1703794,9.993409,0.12921685,1.01968825,9.983409,2.171,0.19850646592049598,2.0,0.533,0.08583005235306157,1.1327569250826832,0.51884584062211,6.4622296458695665,right,1.0,right
20260601072157,237,2564,11635,012_TargetAcquisition_012,11,2,1780312694608,1780312702546,1780312704341,1780312704376,LINE_2/3/BODY/D,valid,1.0,True,LINE_2/3/BODY/*,0.0,1.1703794,9.993409,0.0836001262,1.4214263,9.983409,1.795,0.26460069368817973,2.0,0.067,0.030523645007175877,1.1822566587941146,0.4918785622424439,6.298377252888887,right,0.992,right
20260601072157,237,2564,11635,012_TargetAcquisition_012,11,2,1780312694608,1780312702546,1780312704829,1780312704863,LINE_2/3/NO-SCORE/NO-SCORE,non-valid,0.0,False,LINE_2/3/BODY/*,0.0,0.760731339,9.993409,-0.20574899,1.29633367,9.98807,2.283,0.5737617134827434,2.0,0.531,0.10372172142752911,2.8484268937566495,0.6323062132659563,6.408515591956521,right,0.012,right
20260601072157,237,2564,11635,013_TargetAcquisition_013,12,2,1780312709587,1780312719713,1780312721474,1780312721509,LINE_2/3/BODY/A,valid,5.0,True,LINE_2/3/BODY/*,0.0,1.1703794,9.993409,-0.0193156246,1.19488168,9.983069,1.761,0.031200241647886626,2.0,0.067,0.05872176490866701,2.705046770146991,0.824935578217918,6.203065620222222,right,0.0,right
20260601072157,237,2564,11635,013_TargetAcquisition_013,12,2,1780312709587,1780312719713,1780312721961,1780312721996,LINE_2/3/BODY/D,valid,1.0,True,LINE_2/3/BODY/*,0.0,1.1703794,9.993409,-0.08477977,1.410462,9.983409,2.248,0.25461198758898396,2.0,0.554,0.07692610177291541,2.602445550502955,0.9236962986486794,6.30502122173913,right,0.211,right
